Date,Ticker,Name,Open,High,Low,Close,Volume
2018-05-15 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,11440.123046875,10963.451171875,11320.955078125,37
2018-05-16 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,11440.123046875,11440.123046875,11201.787109375,11201.787109375,94
2018-05-18 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,11440.123046875,11440.123046875,11201.787109375,11201.787109375,26
2018-05-22 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,11201.787109375,11201.787109375,10844.283203125,10844.283203125,68
2018-05-23 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,11201.787109375,11201.787109375,10725.115234375,10725.115234375,98
2018-05-24 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10844.283203125,10844.283203125,110
2018-05-25 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,11201.787109375,11201.787109375,10725.115234375,10844.283203125,24
2018-05-28 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10725.115234375,10725.115234375,10725.115234375,10725.115234375,14
2018-05-29 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10772.7822265625,10844.283203125,10605.947265625,10605.947265625,15
2018-05-30 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10725.115234375,10844.283203125,10725.115234375,10844.283203125,40
2018-05-31 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10725.115234375,10844.283203125,10725.115234375,10725.115234375,28
2018-06-01 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10725.115234375,10725.115234375,10725.115234375,10725.115234375,0
2018-06-04 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10844.283203125,10844.283203125,10844.283203125,10844.283203125,3
2018-06-05 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10844.283203125,10844.283203125,10844.283203125,10844.283203125,3
2018-06-06 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10844.283203125,10963.451171875,43
2018-06-07 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10392.63671875,10963.451171875,34
2018-06-08 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10725.115234375,10963.451171875,10725.115234375,10844.283203125,52
2018-06-11 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10486.779296875,10843.091796875,10486.779296875,10843.091796875,21
2018-06-12 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10844.283203125,10844.283203125,13
2018-06-13 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10844.283203125,10844.283203125,66
2018-06-14 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,4
2018-06-15 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10844.283203125,10939.6171875,10844.283203125,10939.6171875,7
2018-06-18 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10939.6171875,10939.6171875,10939.6171875,10939.6171875,0
2018-06-19 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10939.6171875,10939.6171875,1
2018-06-20 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10772.7822265625,10963.451171875,4
2018-06-21 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,1
2018-06-22 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,5
2018-06-25 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,0
2018-06-26 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,55
2018-06-27 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10796.6162109375,10963.451171875,60
2018-06-28 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,12
2018-06-29 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10725.115234375,10963.451171875,47
2018-07-02 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,12
2018-07-03 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10963.451171875,10963.451171875,6
2018-07-04 00:00:00+02:00,ASA,ATLANTIC SAPPHIRE,10963.451171875,10963.451171875,10486.779296875,10963.451171875,52
