Date,Ticker,Name,Open,High,Low,Close,Volume
2019-07-03 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2520.0,2760.0,2400.0,2520.0,11
2019-07-04 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2520.0,2820.0,2520.0,2820.0,8
2019-07-05 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2820.0,3096.0,2820.0,3096.0,21
2019-07-08 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3240.0,4680.0,3240.0,3480.0,100
2019-07-09 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3780.0,3840.0,3240.0,3240.0,51
2019-07-10 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3000.0,3456.0,3000.0,3456.0,20
2019-07-11 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3456.0,3456.0,3120.0,3300.0,23
2019-07-12 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3348.0,3348.0,3348.0,3348.0,2
2019-07-15 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3348.0,3348.0,3348.0,3348.0,0
2019-07-16 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3240.0,3360.0,3012.0,3012.0,15
2019-07-17 00:00:00+02:00,DFENS,FJORD DEFENCE GR,3012.0,3012.0,2424.0,2940.0,8
2019-07-18 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2652.0,2652.0,2652.0,2652.0,0
2019-07-19 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2688.0,2688.0,2676.0,2688.0,0
2019-07-22 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2760.0,2760.0,2676.0,2676.0,17
2019-07-23 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2640.0,2640.0,2640.0,2640.0,3
2019-07-24 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2382.0,2400.0,2160.0,2160.0,50
2019-07-25 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2160.0,2268.0,2160.0,2160.0,21
2019-07-26 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2226.0,2496.0,2154.0,2154.0,22
2019-07-29 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2160.0,2268.0,2160.0,2268.0,12
2019-07-30 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2340.0,2400.0,2304.0,2304.0,61
2019-07-31 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2280.0,2292.0,2190.0,2250.0,127
2019-08-01 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2394.0,2604.0,2394.0,2400.0,21
2019-08-02 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2640.0,2700.0,2568.0,2568.0,11
2019-08-05 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2640.0,2640.0,2520.0,2520.0,27
2019-08-06 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2340.0,2340.0,2340.0,2340.0,8
2019-08-07 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2640.0,2640.0,2184.0,2334.0,23
2019-08-08 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2346.0,2628.0,2340.0,2340.0,62
2019-08-09 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2346.0,2412.0,2346.0,2412.0,58
2019-08-12 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2520.0,2520.0,2412.0,2412.0,23
2019-08-13 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2388.0,2388.0,2280.0,2280.0,14
2019-08-14 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2388.0,2388.0,2280.0,2370.0,7
2019-08-15 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2370.0,2370.0,2106.0,2190.0,31
2019-08-16 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2376.0,2376.0,2130.0,2142.0,8
2019-08-19 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2136.0,2136.0,2136.0,2136.0,3
2019-08-20 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2082.0,2130.0,2082.0,2130.0,1
2019-08-21 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2064.0,2064.0,2040.0,2040.0,0
2019-08-22 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2052.0,2040.0,2052.0,0
2019-08-23 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2052.0,2052.0,2040.0,2040.0,13
2019-08-26 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2040.0,1980.0,1980.0,4
2019-08-27 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2394.0,1986.0,1986.0,6
2019-08-28 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2040.0,1824.0,1824.0,13
2019-08-29 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1920.0,2196.0,1920.0,2196.0,29
2019-08-30 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2388.0,2388.0,2058.0,2088.0,8
2019-09-02 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2046.0,2052.0,2034.0,2052.0,4
2019-09-03 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2076.0,2280.0,2076.0,2262.0,42
2019-09-04 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2238.0,2280.0,2070.0,2070.0,149
2019-09-05 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2190.0,2190.0,1956.0,2100.0,40
2019-09-06 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2046.0,2046.0,1920.0,1968.0,88
2019-09-09 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2016.0,2016.0,1986.0,1986.0,4
2019-09-10 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1962.0,2220.0,1962.0,2034.0,21
2019-09-11 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2040.0,1878.0,1920.0,64
2019-09-12 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1860.0,2022.0,1860.0,1950.0,62
2019-09-13 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1926.0,2010.0,1926.0,2010.0,47
2019-09-16 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2004.0,2034.0,1980.0,2034.0,73
2019-09-17 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1920.0,2046.0,1920.0,1992.0,210
2019-09-18 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1920.0,2028.0,1920.0,1962.0,28
2019-09-19 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1920.0,1956.0,1920.0,1950.0,62
2019-09-20 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1920.0,1968.0,1866.0,1968.0,74
2019-09-23 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2016.0,2346.0,1974.0,2244.0,227
2019-09-24 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2280.0,2508.0,2256.0,2316.0,100
2019-09-25 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2196.0,2196.0,2040.0,2136.0,82
2019-09-26 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2058.0,2100.0,2040.0,2100.0,9
2019-09-27 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2112.0,2202.0,2106.0,2202.0,9
2019-09-30 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2202.0,2202.0,1938.0,2040.0,5
2019-10-01 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2040.0,2088.0,1890.0,2088.0,20
2019-10-02 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2088.0,2088.0,1926.0,2082.0,0
2019-10-03 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2082.0,2082.0,1932.0,1932.0,1
2019-10-04 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1932.0,1932.0,1932.0,1932.0,0
2019-10-07 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1932.0,2094.0,1932.0,2094.0,1
2019-10-08 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1896.0,2040.0,1896.0,1920.0,4
2019-10-09 00:00:00+02:00,DFENS,FJORD DEFENCE GR,1926.0,1926.0,1926.0,1926.0,0
2019-10-10 00:00:00+02:00,DFENS,FJORD DEFENCE GR,2100.0,2154.0,2046.0,2046.0,26
