Date,Ticker,Name,Open,High,Low,Close,Volume
2025-12-01 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.5,20.700000762939453,19.950000762939453,19.950000762939453,1017600
2025-12-02 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.0,20.100000381469727,19.799999237060547,19.799999237060547,26408
2025-12-03 23:00:00+00:00,VTURA,VENTURA OFFSHORE,19.799999237060547,20.39999961853028,19.799999237060547,20.100000381469727,12917
2025-12-04 23:00:00+00:00,VTURA,VENTURA OFFSHORE,21.0,21.0,20.0,20.0,52499
2025-12-07 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.799999237060547,20.89999961853028,20.200000762939453,20.5,35386
2025-12-08 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.89999961853028,21.0,20.0,20.0,21162
2025-12-09 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.5,21.600000381469727,20.100000381469727,20.100000381469727,44031
2025-12-10 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.600000381469727,20.89999961853028,19.0,19.100000381469727,3606289
2025-12-11 23:00:00+00:00,VTURA,VENTURA OFFSHORE,19.100000381469727,19.299999237060547,18.850000381469727,19.0,81444
2025-12-14 23:00:00+00:00,VTURA,VENTURA OFFSHORE,19.450000762939453,19.450000762939453,18.700000762939453,18.700000762939453,67293
2025-12-15 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.5,21.0,18.14999961853028,18.299999237060547,98115
2025-12-16 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.299999237060547,18.850000381469727,17.5,18.75,110384
2025-12-17 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.64999961853028,18.950000762939453,18.600000381469727,18.600000381469727,56800
2025-12-18 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.600000381469727,18.799999237060547,18.299999237060547,18.299999237060547,24471
2025-12-21 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.64999961853028,18.64999961853028,18.100000381469727,18.299999237060547,59742
2025-12-22 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.100000381469727,18.64999961853028,18.100000381469727,18.450000762939453,36431
2025-12-28 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.299999237060547,19.549999237060547,18.14999961853028,18.39999961853028,123964
2025-12-29 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.75,19.5,18.5,18.89999961853028,116325
2026-01-01 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.89999961853028,19.100000381469727,18.200000762939453,18.549999237060547,44805
2026-01-04 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.64999961853028,19.14999961853028,18.64999961853028,18.799999237060547,27659
2026-01-05 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.299999237060547,19.950000762939453,18.299999237060547,18.799999237060547,43109
2026-01-06 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.799999237060547,19.64999961853028,18.350000381469727,18.5,76419
2026-01-07 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.350000381469727,18.600000381469727,18.25,18.350000381469727,6654471
2026-01-08 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.5,18.950000762939453,18.39999961853028,18.700000762939453,125336
2026-01-11 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.600000381469727,18.950000762939453,18.549999237060547,18.799999237060547,14964
2026-01-12 23:00:00+00:00,VTURA,VENTURA OFFSHORE,18.799999237060547,19.299999237060547,18.700000762939453,18.950000762939453,336994
2026-01-13 23:00:00+00:00,VTURA,VENTURA OFFSHORE,19.100000381469727,19.450000762939453,19.049999237060547,19.450000762939453,39891
2026-01-14 23:00:00+00:00,VTURA,VENTURA OFFSHORE,19.5,21.0,19.350000381469727,20.600000381469727,165022
2026-01-15 23:00:00+00:00,VTURA,VENTURA OFFSHORE,20.89999961853028,20.89999961853028,20.100000381469727,20.600000381469727,135382
2026-03-29 22:00:00+00:00,VTURA,VENTURA OFFSHORE,26.600000381469727,27.200000762939453,26.600000381469727,27.100000381469727,115869
