Date,Ticker,Name,Open,High,Low,Close,Volume
2018-03-21 00:00:00+01:00,ELMRA,ELMERA GROUP,17.999974404611894,18.506224543047267,17.437475204467773,17.437475204467773,9465625
2018-03-22 00:00:00+01:00,ELMRA,ELMERA GROUP,17.4937253390586,17.648412404521817,17.437475204467773,17.437475204467773,3991267
2018-03-23 00:00:00+01:00,ELMRA,ELMERA GROUP,17.324974935286114,17.465599735322147,17.324974935286114,17.437475204467773,1191802
2018-03-26 00:00:00+02:00,ELMRA,ELMERA GROUP,17.707473056581673,17.859348085191517,17.44872396151186,17.71872329711914,255509
2018-03-27 00:00:00+02:00,ELMRA,ELMERA GROUP,18.106846233276404,18.500596053669504,18.05622122571495,18.19684600830078,978305
2018-03-28 00:00:00+02:00,ELMRA,ELMERA GROUP,18.194039192714648,18.194039192714648,17.88747598120506,18.078725814819336,346047
2018-04-03 00:00:00+02:00,ELMRA,ELMERA GROUP,18.11247236029737,18.11247236029737,17.53872299194336,17.53872299194336,342742
2018-04-04 00:00:00+02:00,ELMRA,ELMERA GROUP,17.98872216917407,17.98872216917407,17.606222583812748,17.88747215270996,257478
2018-04-05 00:00:00+02:00,ELMRA,ELMERA GROUP,17.88747429067478,18.25309963224737,17.88747429067478,18.219348907470703,231294
2018-04-06 00:00:00+02:00,ELMRA,ELMERA GROUP,18.168723234876133,18.42184829711914,18.168723234876133,18.42184829711914,215242
2018-04-09 00:00:00+02:00,ELMRA,ELMERA GROUP,18.421849051269763,18.9084118100426,18.421849051269763,18.61872291564941,236076
2018-04-10 00:00:00+02:00,ELMRA,ELMERA GROUP,18.61872052714356,18.67497172815311,18.337470959387527,18.615909576416016,122506
2018-04-11 00:00:00+02:00,ELMRA,ELMERA GROUP,18.61872283617837,18.67497404416403,18.320598944029065,18.39372444152832,180309
2018-04-12 00:00:00+02:00,ELMRA,ELMERA GROUP,18.449971512234207,18.449971512234207,18.18559837341309,18.18559837341309,157475
2018-04-13 00:00:00+02:00,ELMRA,ELMERA GROUP,18.28122182325884,18.61872044476728,18.278408726779823,18.562471389770508,149300
2018-04-16 00:00:00+02:00,ELMRA,ELMERA GROUP,18.61872044476728,18.61872044476728,18.33747087825561,18.562471389770508,50930
